Id,Name,Vorname,Titel,Partei,Wahlkreis,WahlkreisOrderBy
e4fea4fc-569a-483b-9d85-0ecf597d1368,Jagmetti,Luca,Dr.,FDP,,0
9437ccea-ee01-45ea-8f9d-5a4198d518ae,Jahreiss-Montagnani,Fiammetta,,SP,,0
1beb0f5b-300a-49e8-b5fa-7e3676c50bac,Jüsi,Bernhard,,SP,,0
53a0cdc2-72f9-4ad7-876d-4edc658029ff,Kaeser,Robert,,FDP,,0
425cc044-7799-4b37-8451-5903866239a9,Kägi Götz,Maya,,SP,4 und 5,102
ceb880c2-db62-491a-9f62-883bb8e72a81,Kälin-Werth,Simon,,Grüne,7 und 8,104
38d1d9b2-a5be-4212-96f5-f402d9acac63,Kamber,Thomas,,CVP,,0
912c4c43-d183-4d06-874a-5caaef10f4c8,Kammerer,Bruno,,SP,,0
d58b0321-5d8a-41e8-aa62-340d63dba3de,Kappeler,Thomas ,Dr.,CVP,,0
af3b8608-2ac0-46ac-b05c-3e5da7845df6,Käppeli,Hans Jörg,,SP,11,107
58167df5-6bc2-4d6b-b5e1-b8bad37cbc48,Karakostas,Sofia,,,,0
7bb225f4-c1bf-4b7c-b542-aeba8facdf12,Käser,Philipp,,GLP,,0
4783f09b-57f9-4cc8-a7c0-813815aed759,Katumba,Andrew,,SP,,0
698a0e13-a6c5-4e2f-97cf-8da7bd35692a,Keller,Ueli,,SP,,0
3fb34414-82b7-4ad1-9a15-0f501608c542,Kessler,Alain,,FDP,,0
b84bdf09-0197-4eac-989f-b6e49b297edd,Kirstein,Andreas,,AL,11,107
b8b3c9f7-2f9b-4247-95f7-af7eb177940f,Kisker,Gabriele,,Grüne,1 und 2,100
0a164c42-f3b6-4a92-853c-58899b91c666,Kleger,Paul,,FDP,,0
510f49c8-76b0-4c37-a031-518867986a26,Kleger,Thomas,,FDP,11,107
fdc2ec44-f507-42b8-8b0a-d8b0082990c2,Knauss,Markus,,Grüne,4 und 5,102
2f50146a-eb0f-495c-aeef-a9670f09636f,Knörr,Marcel,,FDP,,0
e01dacdf-58f4-4bea-8515-081590ea17a1,Kobler,Raphael,,FDP, 3,101
9db61ee8-2d3e-42e5-ab21-7b233a18872a,Koch,Sabine,,FDP,7 und 8,104
735cae3b-5fbe-4090-a987-2c3154aed359,Köpfli,Josef,,SP,,0
59123a81-37b2-4e95-8a16-a9964bac2955,Kraft,Michael,,SP,10,106
aa77152d-5fde-4725-8c69-21c022000ec8,Krayenbühl,Guy,,GLP,1 und 2,100
0d6599f7-2dc7-4797-8292-a9d077beb187,Krebs,Kurt,,SL,,0
e8826106-c676-4813-9868-f8118e0389eb,Kuhn,Rolf,,SP,,0
ad4dc980-b933-46e2-b61a-05a70b4ccf40,Küng,Peter,Dr.,SP,,0
8535e227-94aa-4332-bd42-077848ed5f28,Kunz,Hanspeter,,EVP,,0
56d4d8c4-0ee8-4dce-b0b8-dc2388433758,Kunz,Markus,,Grüne, 3,101
e381099f-c2cf-4df3-ac06-a84daa094132,Kurtulmus,Muammer,,Grüne,,0
24e06b1c-f63a-4c9d-b4e6-2837f9c46911,Lamprecht,Pascal,,SP, 9,105
6f80de0e-2322-46c4-891b-3a2781b127c9,Landolt,Maleica,,GLP,11,107
b14b0af2-fc39-4a0f-9f93-7578ce58ca50,Lanzendörfer,Matthias,,SD,,0
3ac75292-b28d-4d99-9205-e02a9e7b0414,Lauber,Gerold,lic. iur.,CVP,,0
968d0e88-7760-4dbc-be49-16d518c41cff,Lauber,Tamara,,FDP,,0
98c06054-ce6b-43c4-817e-6f84b2a4ef2c,Lauffer,Urs,,,,0
3ee7c397-8798-4d14-8fd9-93f95b6d6182,Ledergerber,Zora,Dr.,GLP,,0
2fe4ac1e-5d58-4546-9d26-618b3980ca74,Leiser,Albert,,FDP, 9,105
7f22b482-38d0-43ca-9599-a71f3edcbd73,Leitner Verhoeven,Andrea,,AL,10,106
af40797d-48cc-4410-8dc3-d023104a42ae,Leoni,Luigi,,SVP,,0
755a7e7d-d3c7-4ce0-ba75-9ff4aa4251fd,Leuenberger,Herbert,,SD,,0
67301b87-63e2-4d43-9738-ce5f938aa3f7,Leupi,Daniel,,Grüne,,0
67a18930-56da-4f2b-a6a9-e55c65ad2512,Leuzinger,Romana,,SP,,0
13d7870b-45b0-446d-af21-b58399f0d8b1,Liebermann,Jürg,,,,0
d5882293-1482-4f82-b75e-543533681c01,Liebi,Elisabeth,,SVP,,0
3897ae1a-3dd5-43b6-bd6c-98a61d3aae54,Liebi,Roger,,SVP,,0
067dc46f-7cf6-4a5f-b368-4771711d0c33,Lienhard,Hanna,,,,0
7d007467-325b-46a8-a29b-6d0981ee8de3,Lienhard,Stephan,,SVP,,0
580bb85b-b3d0-4a50-b800-e64570d2f6a8,Linggi Werner,Jeannette,,SP,,0
ff8c5e94-798b-4e5f-ad23-feeae3f1243a,Luchsinger,Christoph,Dr.,FDP,,0
2212cc79-5498-40af-b3a2-397d54bb5b5c,Luchsinger,Martin,,GLP,,0
74ee974c-4f8f-4034-8e9c-b17f12fe35b4,Luchsinger,Thomas,,SVP,,0
96a6a5dd-82fb-4663-9389-973034276f6e,Luchsinger Gähwiler,Catrina,Dr.,FDP,,0
6a5b1076-2a5c-4d0b-9b8a-d8544b3820e3,Mächler,Martin,Dr.,EVP,,0
afce12d3-c21a-42de-a927-1a9a88cd00c0,Mächler,Peter,,SVP,,0
11c7edee-ffb5-4451-b4ce-ab5c280c5977,Maeder,Kurt,Prof. Dr.,CVP,,0
7d0fb669-0e85-4051-87f5-db23ea3f1802,Maggi,Luca,,Grüne,1 und 2,100
b19832ce-0192-4769-a8df-b79ff35d54dc,Mägli-Fischer,Erika,,SP,,0
75ae27e5-17f3-4253-a4b0-408abb592703,Mahrer,Monika,,SP,,0
fcde5da1-ca99-4cf8-9623-ab532de3de85,Maichle-Schori,Margrit,,SP,,0
9e46c2e0-626a-4d19-82e8-de1b2a3e216d,Maillard,Patrik,,AL, 6,103
ad2a673f-483f-465b-b58a-1ca0bc70d09f,Maino,Rosa,,AL,,0
068f1fd5-6dd7-458c-a08d-09710a409db0,Maissen,Placidus,,,,0
f450234e-928c-4358-8114-5e3d2cfb810e,Makwana-Boss,Elisabeth,,SP,,0
87cf2c8f-edda-4afa-b680-a683e1601fba,Manser,Joe A.,,SP,7 und 8,104
0d59f41d-2318-44dd-9c77-af41669c48b6,Manz,Mathias,,SP, 9,105
6b4c5528-79e0-4de8-994e-8539ae09ac3a,Marchetto-Grütter,Christine,,SP,,0
9d8d30b3-0940-4f43-9304-9dc0c1adfb25,Mariani,Mario,,CVP,,0
527d118b-0478-4b3e-bfb8-a3111575e659,Marolf,Hans,,SVP,,0
8c7958b0-b270-447b-b178-39a0d06f6bf8,Martelli,Kathrin,,,,0
eaac1f5e-3da7-4779-8ec9-0bb6c7ecb069,Marthaler,Thomas,,SP,,0
8ba66468-4f2e-450d-9b7e-dbac5e6a26ae,Marti,Elena,,Grüne,11,107
8630dc95-b153-4f7e-bd51-1f9fc314af4a,Marti,Min Li,,SP,,0
0fbc0665-ed86-4b86-b0a7-086274d67499,Marti,Peter,,,,0
e965adf7-71b7-4e39-a714-175ee4990207,Marti,Res,,Grüne, 9,105
399ab8b4-d234-4e7c-9de3-b54446c9f92b,Marty,Christoph,,SVP,,0
b181031f-9066-483a-84bf-92f8fa59aa2a,Matter,Sylvie Fee,,SP,,0
08dd60a3-4d46-4e69-ae57-572afa0a32e3,Mauch,Corine,,SP,,0
3345c9bc-c5e3-416c-8685-90b03ccb1ae2,Maurer,Esther,,SP,,0
fed08b65-8e0a-48cb-aa3c-09c8b02c4490,Meier,Daniel,,CVP,,0
b0403d1c-035a-4ff5-bae4-c9dab82bf2d5,Meier,Gabriela,,SP,,0
a6b45736-4c00-4a42-87e9-f7e5d7b85b04,Meier,Hans-Ulrich,,FDP,,0
83dbda19-035b-485f-9dcd-cc8b909d6de9,Meier,Marie-Therese,,SP,,0
dd8f7167-3e1f-47aa-a815-075cd23afd4a,Meier,Oliver B.,,SVP,,0
a1e15cd4-560f-4967-a8aa-7d73237a4b43,Meier,Thomas,,SVP,,0
fd3ff4cb-fdb2-4fc0-be56-6b1d6a84e66f,Meier-Bohrer,Karin,,Grüne, 6,103
09fccfe6-c6e3-487e-8efc-4db1e8af3d8f,Merki,Markus,,GLP,11,107
49d8a461-cfec-48dd-b863-15a6f471b1a8,Mettler,Christian,,SVP,,0
2d168877-7c7c-4e7d-986e-b19543bf5295,Meuli,Myrtha,,SP,,0
178260bc-b46e-460b-bd3f-f80ae421c468,Meyer,Pirmin,,GLP, 3,101
a191c22b-aab2-426c-8582-c35adbbb2b43,Miescher,Kurt,,SD,,0
f5ae2bc7-e3c4-4f2e-96b8-0b4c1abbb87d,Monn,Christian,Dr. ,GLP,12,108
0ab2f762-e2ac-4c5e-9be7-63412614df84,Monn,Thomas,Dr.,SVP,,0
70306ac8-fcd8-4901-8605-f1fa4839a236,Morgenbesser,Mischa,Dr.,FDP,,0
2f54f2fb-62cc-4083-9e16-db9ddf12c7c4,Möri,Köbi,,Parteilos,,0
